Seed,Model,Technique,Static_ms,Dynamic_ms
64,RF,Prune 75%,0.0149,0.014
64,RF,Prune 87%,0.0122,0.0114
64,XGB,Prune 67%,0.0152,0.0239
64,XGB,Prune 83%,0.0145,0.0175
64,XGB,Prune 92%,0.0137,0.0218
64,MLP,Distillation,36.4953,35.3647
65,RF,Baseline,0.0221,0.0228
65,MLP,Baseline,35.2322,35.4962
65,XGB,Baseline,0.0162,0.0321
65,MLP,Quant INT8,0.0046,0.0037
65,RF,Quant INT8,0.0215,0.0221
65,XGB,Quant INT8,0.0204,0.0324
65,MLP,Prune 25%,36.0756,35.0891
65,MLP,Prune 50%,35.3329,37.113
65,MLP,Prune 75%,36.1452,35.6638
65,RF,Prune 50%,0.0163,0.0213
65,RF,Prune 75%,0.0149,0.015
65,RF,Prune 87%,0.0123,0.0112
65,XGB,Prune 67%,0.0181,0.0251
65,XGB,Prune 83%,0.0143,0.0171
65,XGB,Prune 92%,0.0134,0.0222
65,MLP,Distillation,35.9109,35.2466
66,RF,Baseline,0.0178,0.0231
66,MLP,Baseline,34.9364,34.6067
66,XGB,Baseline,0.0168,0.0253
66,MLP,Quant INT8,0.0047,0.0047
66,RF,Quant INT8,0.0209,0.0174
66,XGB,Quant INT8,0.0214,0.0283
66,MLP,Prune 25%,35.009,34.7228
66,MLP,Prune 50%,34.3198,34.3491
66,MLP,Prune 75%,34.2031,36.4586
66,RF,Prune 50%,0.0202,0.0211
66,RF,Prune 75%,0.0147,0.0135
66,RF,Prune 87%,0.0122,0.0111
66,XGB,Prune 67%,0.0154,0.0208
66,XGB,Prune 83%,0.0112,0.0222
66,XGB,Prune 92%,0.0136,0.0177
66,MLP,Distillation,35.7148,34.7893
67,RF,Baseline,0.0215,0.0227
67,MLP,Baseline,34.9916,34.9408
67,XGB,Baseline,0.0158,0.0256
67,MLP,Quant INT8,0.0046,0.0038
67,RF,Quant INT8,0.0169,0.0226
67,XGB,Quant INT8,0.0173,0.0322
67,MLP,Prune 25%,35.3622,34.7269
67,MLP,Prune 50%,34.7506,34.9089
67,MLP,Prune 75%,34.7458,34.2181
67,RF,Prune 50%,0.0164,0.0178
67,RF,Prune 75%,0.0151,0.0142
67,RF,Prune 87%,0.012,0.0115
67,XGB,Prune 67%,0.0169,0.0201
67,XGB,Prune 83%,0.0152,0.018
67,XGB,Prune 92%,0.0103,0.0219
